Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Non-Cash Items";"Change in Working Capital";"Change in Accounts Receivable";"Change in Inventories";"Change in Accounts Payable";"Change in Other";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Long Term Investment";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Net Change in Cash"
A;45846;USD;2017;FY;2017-10-31;2017-12-21;2018-12-20;322000000;326000000;684000000;212000000;193000000;-200000000;-81000000;-61000000;2000000;-60000000;889000000;-176000000;0;-126000000;-305000000;-170000000;110000000;-128000000;-202000000;389000000
A;45846;USD;2018;FY;2018-10-31;2018-12-20;2020-12-18;321000000;325000000;316000000;210000000;90000000;471000000;-65000000;-83000000;40000000;579000000;1087000000;-176000000;;-516000000;-705000000;-191000000;-210000000;-366000000;-797000000;-432000000
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;1071000000;238000000;-152000000;-136000000;-106000000;-36000000;29000000;-23000000;1021000000;-155000000;;-1408000000;-1590000000;-206000000;600000000;-669000000;-299000000;-866000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;719000000;308000000;220000000;-326000000;;;;;921000000;-118000000;;;-147000000;-222000000;-45000000;-409000000;-717000000;59000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2022-12-21;305000000;307000000;1210000000;321000000;56000000;-102000000;;;;;1485000000;-187000000;12000000;-547000000;-749000000;-236000000;356000000;-733000000;-696000000;43000000
A18;1253413;USD;2017;FY;2017-12-31;2018-04-23;2020-04-09;66300808;71775893;2174000000;490000000;2225000000;2180000000;;;;;7069000000;-494000000;-1541000000;-2079000000;-16988000000;;8339000000;732000000;9779000000;-187000000
A18;1253413;USD;2018;FY;2018-12-31;2019-03-15;2021-03-15;68403426;70924623;1096000000;546000000;3350000000;2123000000;;;;;7115000000;-708000000;-4387000000;-1197000000;-14356000000;;14431000000;677000000;12204000000;5782000000
A18;1253413;USD;2019;FY;2019-12-31;2020-04-09;2022-04-27;70983996;80244014;6998000000;656000000;-603000000;282000000;;;;;7333000000;-834000000;-15834000000;-413000000;-1549000000;;-1090000000;467000000;-10120000000;-4027000000
A18;1253413;USD;2020;FY;2020-12-31;2021-03-15;2022-04-27;70983996;80244014;-3269000000;790000000;5590000000;-6934000000;;;;;-3823000000;-532000000;-9770000000;-3051000000;-6001000000;;18253000000;159000000;8205000000;-2332000000
A18;1253413;USD;2021;FY;2021-12-31;2022-04-27;2022-04-27;70983996;80244014;-645000000;723000000;2220000000;177000000;;;;;2475000000;-571000000;-6818000000;-365000000;-3419000000;;1709000000;8291000000;3190000000;1781000000
A21;1333027;USD;2019;FY;2019-12-31;2020-03-09;2022-04-19;;;-2417874000;116391000;672729000;-153561000;;;;;-1793710000;-951253000;-98000000;-560000000;-2574836000;;401357000;5156924000;5655690000;1340866000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2022-04-19;;;-166030000;320996000;-83148000;3067838000;;;;;3139804000;-674652000;-65000000;-35448000;-18737725000;;3685057000;21025640000;24710697000;8736130000
A21;1333027;USD;2021;FY;2021-12-31;2022-04-19;2022-04-19;;;-321455000;590397000;1455521000;6615922000;;;;;8340385000;-3444535000;;-630698000;-4257244000;;16708324000;1209000;16709533000;20320545000
